	P11_GT85_I_D	P11_GT85_II_D	P11_GT85_III_D	P11_GT85_IV_D	P11_GT85_V_D	P17_BH58_I_D	P17_BH58_II_D	P17_BH58_III_D	P17_BH58_IV_D	P17_BH58_V_D	P17_BH58_VI_D	P18_SJ75_I_D	P18_SJ75_II_D	P18_SJ75_III_D	P18_SJ75_IV_D	P18_SJ75_V_D	P2_ZM87_I_D	P2_ZM87_II_D	P2_ZM87_III_D	P2_ZM87_IV_D	P2_ZM87_V_D	P2_ZM87_VI_D	P30_KM73_I_D	P30_KM73_II_D	P30_KM73_III_D	P30_KM73_IV_D	P30_KM73_V_D	P30_KM73_VI_D	P36_KJ78_I_D	P36_KJ78_III_D	P36_KJ78_IV_D	P36_KJ78_VI_D	P37_SJ55_I_D	P37_SJ55_II_D	P37_SJ55_III_D	P37_SJ55_IV_D	P37_SJ55_V_D	P37_SJ55_VI_D	P43_BR63_I_D	P43_BR63_III_D	P8_LV78_II_D	P8_LV78_III_D	P8_LV78_IV_D	P8_LV78_V_D
P17_BH58_VI_D	0.859992371	0.767542205	0.830885361	0.77023823	0.854917924	0.77387207	0.743983317	0.664161821	0.516418221	0.770653159	0	0.935712295	0.80733076	0.697530123	0.842241156	0.791054788	0.920444027	0.885650022	0.931706037	0.914061971	0.922161286	0.814630691	0.880217442	0.631082458	0.854949587	0.893753788	0.891829411	0.633234112	0.887694091	0.888522576	0.918119631	0.860293303	0.792122355	0.897651776	0.874631587	0.673166901	0.766403228	0.606237569	0.431216609	0.653017035	0.76562629	0.913710578	0.573489149	0.85409971
P18_SJ75_I_D	0.841064654	0.956770202	0.953375721	0.904911992	0.89769343	0.869322995	0.904142941	0.924326859	0.935338819	0.950341269	0.935712295	0	0.849847432	0.934114233	0.90331792	0.934109587	0.83588228	0.853939198	0.852551017	0.886353646	0.884124291	0.846363622	0.929440974	0.93460248	0.942857104	0.933942629	0.951822252	0.936828008	0.937261206	0.856752145	0.888233549	0.856296699	0.931137947	0.888513838	0.895481405	0.930495992	0.88650039	0.945647772	0.934048523	0.942694171	0.878692607	0.886462374	0.934158059	0.946756867
P18_SJ75_II_D	0.741780286	0.691531676	0.894283787	0.784045542	0.834864513	0.856485708	0.845958222	0.761289614	0.829582465	0.858298348	0.80733076	0.849847432	0	0.855089173	0.854852239	0.886612937	0.749044038	0.790450574	0.833046649	0.921559941	0.888995485	0.757137346	0.895179264	0.823630233	0.856804269	0.892509488	0.930993137	0.874787285	0.905222662	0.842225402	0.808600169	0.706926582	0.867214266	0.825676924	0.696304241	0.830641438	0.72229269	0.840230275	0.802652769	0.832800158	0.863129819	0.916823551	0.834478484	0.875308668
P18_SJ75_III_D	0.8817577	0.854171402	0.848767379	0.820009849	0.886305718	0.833941982	0.805813035	0.773928684	0.70006404	0.828475001	0.697530123	0.934114233	0.855089173	0	0.857003199	0.805959477	0.925755953	0.892906084	0.936373212	0.884920265	0.917526885	0.828191643	0.888266082	0.746275102	0.8834678	0.882728471	0.907232036	0.79124263	0.842852694	0.879858884	0.920994216	0.888553617	0.732146532	0.905001012	0.89519844	0.741885631	0.822032589	0.766040897	0.738070964	0.791276171	0.831237381	0.914934174	0.707960656	0.882128076
P18_SJ75_IV_D	0.873084984	0.910599799	0.910589812	0.7986515	0.823845037	0.899499612	0.900372942	0.832958151	0.828668758	0.870478882	0.842241156	0.90331792	0.854852239	0.857003199	0	0.890038784	0.908133195	0.899131608	0.921914333	0.935568126	0.912772698	0.865725324	0.904213951	0.854670516	0.819130098	0.902310541	0.924187565	0.888054612	0.92816249	0.875208487	0.938733374	0.899028265	0.864849251	0.876041396	0.909848772	0.81945783	0.857152456	0.842527942	0.822650425	0.832133293	0.871560388	0.885222132	0.855176405	0.840799162
P18_SJ75_V_D	0.916460459	0.899249047	0.893878084	0.882451713	0.915281532	0.887034079	0.892126654	0.818901269	0.818615997	0.894486572	0.791054788	0.934109587	0.886612937	0.805959477	0.890038784	0	0.931344316	0.91330473	0.935269041	0.923445569	0.919616804	0.856861095	0.928630779	0.83395402	0.918291859	0.890220904	0.896884605	0.851973837	0.911199878	0.907590214	0.938337792	0.908903396	0.833561325	0.930330248	0.914968081	0.807125368	0.888873798	0.850466145	0.813799559	0.872077068	0.883969454	0.907282314	0.840960927	0.905357243
P2_ZM87_I_D	0.749293589	0.879296169	0.914277029	0.836566581	0.823496681	0.937930565	0.929578871	0.883408711	0.922393015	0.891973992	0.920444027	0.83588228	0.749044038	0.925755953	0.908133195	0.931344316	0	0.760098184	0.674125661	0.882978047	0.875101207	0.750913239	0.904264591	0.92417311	0.917987349	0.912812573	0.935310555	0.929264032	0.932788059	0.859077224	0.701631767	0.731319702	0.917010431	0.822940896	0.709283319	0.922742815	0.829214903	0.933227504	0.910915565	0.936850419	0.889637783	0.880664937	0.924966603	0.919667891
P2_ZM87_II_D	0.771190731	0.840265575	0.900734611	0.790019373	0.838074128	0.84116921	0.800428143	0.871910276	0.876508687	0.836291957	0.885650022	0.853939198	0.790450574	0.892906084	0.899131608	0.91330473	0.760098184	0	0.728080197	0.79859462	0.831995542	0.682917887	0.929438932	0.871906167	0.927993977	0.9281003	0.930667315	0.888798142	0.911228986	0.875864564	0.790240593	0.700808249	0.890097079	0.854685263	0.696427529	0.893346788	0.89152366	0.898821649	0.874392047	0.904412181	0.903623831	0.949720447	0.869519558	0.911220396
P2_ZM87_III_D	0.755599862	0.87642018	0.927490222	0.862229852	0.847324642	0.910343182	0.858328894	0.899428747	0.93556465	0.89375516	0.931706037	0.852551017	0.833046649	0.936373212	0.921914333	0.935269041	0.674125661	0.728080197	0	0.836193783	0.847187173	0.714768783	0.948795261	0.933999147	0.929705741	0.918484518	0.936556406	0.918389575	0.934161551	0.868415124	0.710855994	0.724161329	0.922971611	0.811968314	0.718589763	0.927653239	0.823588491	0.946530783	0.923664974	0.941718982	0.935947587	0.945098963	0.930471929	0.932798723
P2_ZM87_IV_D	0.941613555	0.906505299	0.942140288	0.930166516	0.834016133	0.888715464	0.886683261	0.931066885	0.917144882	0.881581365	0.914061971	0.886353646	0.921559941	0.884920265	0.935568126	0.923445569	0.882978047	0.79859462	0.836193783	0	0.652837784	0.789438488	0.92527658	0.913510873	0.933862693	0.925223193	0.94239106	0.930386998	0.938861764	0.91862144	0.922375635	0.916593237	0.919957156	0.927427693	0.921195676	0.91554441	0.889611115	0.920584756	0.914291766	0.920689335	0.912076366	0.923290599	0.931287114	0.937932935
P2_ZM87_V_D	0.900830233	0.92676807	0.956109852	0.926481902	0.885533869	0.923922478	0.905052506	0.9139056	0.916683603	0.913105533	0.922161286	0.884124291	0.888995485	0.917526885	0.912772698	0.919616804	0.875101207	0.831995542	0.847187173	0.652837784	0	0.830233566	0.918553773	0.916979795	0.915758704	0.898526795	0.901272129	0.927360754	0.920027149	0.880126623	0.896199077	0.916348099	0.901230951	0.88599931	0.91829139	0.903459584	0.919760797	0.942822754	0.915588018	0.939569442	0.91547348	0.914838461	0.933170594	0.933213719
P2_ZM87_VI_D	0.826565484	0.80550663	0.907923578	0.829667337	0.848995088	0.841649259	0.828922773	0.795689876	0.81852894	0.823010175	0.814630691	0.846363622	0.757137346	0.828191643	0.865725324	0.856861095	0.750913239	0.682917887	0.714768783	0.789438488	0.830233566	0	0.926417569	0.829104528	0.905832801	0.899365324	0.919511682	0.844165719	0.887988571	0.821588947	0.760616316	0.750491764	0.793384772	0.816515724	0.745852896	0.777385326	0.831883396	0.868410529	0.788867372	0.876119028	0.877653792	0.929043554	0.844530252	0.906255233
P30_KM73_I_D	0.924254067	0.91541984	0.890437435	0.885821274	0.886167398	0.847302865	0.88625542	0.885394882	0.882021624	0.817681448	0.880217442	0.929440974	0.895179264	0.888266082	0.904213951	0.928630779	0.904264591	0.929438932	0.948795261	0.92527658	0.918553773	0.926417569	0	0.906569305	0.881982656	0.900363346	0.917298989	0.898651974	0.934833477	0.923269748	0.945341694	0.930833528	0.875189587	0.915549359	0.931435276	0.850882577	0.904132673	0.880763669	0.889705086	0.854364466	0.855276691	0.891714392	0.863918853	0.894945674
P30_KM73_II_D	0.851513788	0.789019584	0.809674786	0.808444024	0.88214978	0.797061701	0.687232222	0.754159805	0.549739109	0.810318022	0.631082458	0.93460248	0.823630233	0.746275102	0.854670516	0.83395402	0.92417311	0.871906167	0.933999147	0.913510873	0.916979795	0.829104528	0.906569305	0	0.874532973	0.8722767	0.869712899	0.499063954	0.850989522	0.880325365	0.91384758	0.873673757	0.781817383	0.914747814	0.872228523	0.710179557	0.805495786	0.746485485	0.660539689	0.763733363	0.802953011	0.931011219	0.607755954	0.878446813
