	P11_GT85_I_D	P11_GT85_II_D	P11_GT85_III_D	P11_GT85_IV_D	P11_GT85_V_D	P17_BH58_I_D	P17_BH58_II_D	P17_BH58_III_D	P17_BH58_IV_D	P17_BH58_V_D	P17_BH58_VI_D	P18_SJ75_I_D	P18_SJ75_II_D	P18_SJ75_III_D	P18_SJ75_IV_D	P18_SJ75_V_D	P2_ZM87_I_D	P2_ZM87_II_D	P2_ZM87_III_D	P2_ZM87_IV_D	P2_ZM87_V_D	P2_ZM87_VI_D	P30_KM73_I_D	P30_KM73_II_D	P30_KM73_III_D	P30_KM73_IV_D	P30_KM73_V_D	P30_KM73_VI_D	P36_KJ78_I_D	P36_KJ78_III_D	P36_KJ78_IV_D	P36_KJ78_VI_D	P37_SJ55_I_D	P37_SJ55_II_D	P37_SJ55_III_D	P37_SJ55_IV_D	P37_SJ55_V_D	P37_SJ55_VI_D	P43_BR63_I_D	P43_BR63_III_D	P8_LV78_II_D	P8_LV78_III_D	P8_LV78_IV_D	P8_LV78_V_D
P17_BH58_VI_D	0.29781882	0.259074603	0.094658566	0.186367612	0.182398948	0.149856479	0.153153547	0.176370042	0.105945367	0.175452345	0	0.275265316	0.114122401	0.145677421	0.155268092	0.215581241	0.329739601	0.27661506	0.348185162	0.247099563	0.294466188	0.180770731	0.074760172	0.040929762	0.204144911	0.288298262	0.270571161	0.134921518	0.101701723	0.254049618	0.295973339	0.279057359	0.125440707	0.227679307	0.210222063	0.145533665	0.173231944	0.201289789	0.122401585	0.198283364	0.133023693	0.183245698	0.074658443	0.222129306
P18_SJ75_I_D	0.330273021	0.328591742	0.278472353	0.304402266	0.301408485	0.192325956	0.202235036	0.311524991	0.260101734	0.300350884	0.275265316	0	0.271151986	0.217933347	0.306490669	0.350192771	0.352303077	0.319144408	0.368714053	0.361325031	0.394978137	0.282982944	0.29997436	0.286627702	0.334288665	0.395871779	0.374711578	0.274263365	0.314147144	0.351105376	0.330788896	0.326835848	0.307674319	0.29893827	0.293905891	0.318082621	0.30103337	0.292737154	0.223333064	0.204156537	0.331615112	0.346092126	0.310250643	0.332844232
P18_SJ75_II_D	0.206332537	0.173830076	0.083002044	0.151968205	0.095502808	0.109552031	0.119399711	0.160755704	0.161014915	0.124691945	0.114122401	0.271151986	0	0.178429978	0.165375209	0.246415676	0.229942296	0.180800844	0.251724503	0.159350454	0.220518879	0.116779035	0.126142794	0.115517852	0.218217487	0.305119392	0.292057213	0.170291546	0.125551864	0.236435618	0.205751122	0.188654743	0.143333172	0.154323365	0.115919199	0.172620586	0.096441363	0.196986244	0.164895577	0.230791025	0.164775068	0.198144912	0.140554142	0.210065047
P18_SJ75_III_D	0.284887952	0.25811097	0.217679428	0.23183739	0.212819093	0.11525368	0.115066717	0.195773534	0.09788386	0.187002375	0.145677421	0.217933347	0.178429978	0	0.207279849	0.175420063	0.314055482	0.261678394	0.33247982	0.28153062	0.303800612	0.178202893	0.188920659	0.157806137	0.229438989	0.270333334	0.250559459	0.104713678	0.153775678	0.229189217	0.282838483	0.266666547	0.130786792	0.217931571	0.204165226	0.141715419	0.206205092	0.187176595	0.062854473	0.14679566	0.252083844	0.277481509	0.196615831	0.245176046
P18_SJ75_IV_D	0.306877173	0.277062411	0.176860408	0.151063741	0.183420286	0.185902395	0.18316114	0.159352551	0.156294642	0.159697957	0.155268092	0.306490669	0.165375209	0.207279849	0	0.270559755	0.338571196	0.286354595	0.355789158	0.272546503	0.302904876	0.20002647	0.169099969	0.161268393	0.188034906	0.327379052	0.319367571	0.20210695	0.190079533	0.248705505	0.307331758	0.290056978	0.174523573	0.212116391	0.225286915	0.14348705	0.196857552	0.188716751	0.190525493	0.218942994	0.193108648	0.186602364	0.175235076	0.180171936
P18_SJ75_V_D	0.31215283	0.28949126	0.283128546	0.297112484	0.250159065	0.243416854	0.245735703	0.246473176	0.183019078	0.233687281	0.215581241	0.350192771	0.246415676	0.175420063	0.270559755	0	0.313422633	0.28181312	0.330883815	0.278143959	0.277318042	0.195861989	0.254013296	0.223696353	0.280979185	0.208065538	0.202731199	0.139721577	0.198114863	0.198443367	0.305389001	0.294487725	0.141367195	0.234127582	0.235256377	0.18490357	0.257543655	0.251150862	0.192094846	0.284883297	0.31884337	0.331931442	0.263693266	0.296685159
P2_ZM87_I_D	0.079530585	0.102953317	0.285919335	0.299644304	0.226003092	0.283444302	0.288748585	0.299664529	0.326407376	0.255693186	0.329739601	0.352303077	0.229942296	0.314055482	0.338571196	0.313422633	0	0.080359685	0.06445771	0.279260367	0.300559116	0.194411095	0.327828441	0.325326632	0.345198587	0.298482936	0.272540888	0.271586857	0.303067441	0.268653607	0.088035518	0.080676467	0.264425292	0.190758004	0.131184659	0.297444036	0.23657247	0.295604089	0.322705099	0.341628098	0.370675602	0.376992433	0.345745758	0.331297267
P2_ZM87_II_D	0.068090929	0.049413292	0.226160372	0.248881636	0.177798187	0.225987265	0.231740766	0.248446405	0.275456703	0.20106362	0.27661506	0.319144408	0.180800844	0.261678394	0.286354595	0.28181312	0.080359685	0	0.092077537	0.237625147	0.261511063	0.141746866	0.27125209	0.271896872	0.293876906	0.279160242	0.253151648	0.217893047	0.258092083	0.242253284	0.063247537	0.04709958	0.211636677	0.143156117	0.081849141	0.243680515	0.187732475	0.248695836	0.27070092	0.300204328	0.318280836	0.324042783	0.287360243	0.278472616
P2_ZM87_III_D	0.075619491	0.10878418	0.297180117	0.317036265	0.239630847	0.29866824	0.304100954	0.317758462	0.345915252	0.271302414	0.348185162	0.368714053	0.251724503	0.33247982	0.355789158	0.330883815	0.06445771	0.092077537	0	0.286200234	0.308400357	0.202888769	0.34240084	0.343533728	0.363561444	0.314996379	0.288407145	0.288695338	0.320584393	0.2804157	0.089527286	0.0847939	0.281567612	0.206436725	0.148865865	0.313370906	0.253458444	0.313627836	0.341722921	0.359334226	0.389503196	0.39228488	0.35851413	0.348557624
P2_ZM87_IV_D	0.281917653	0.256613311	0.202250478	0.258472512	0.154053387	0.213263689	0.213668554	0.268558665	0.262221468	0.217630005	0.247099563	0.361325031	0.159350454	0.28153062	0.272546503	0.278143959	0.279260367	0.237625147	0.286200234	0	0.148289163	0.168818974	0.243804708	0.245133071	0.324948338	0.326760495	0.316381699	0.262495031	0.225445266	0.270813946	0.273280373	0.262874419	0.221934911	0.226909751	0.210811137	0.260640885	0.191825209	0.292885321	0.278071477	0.342616043	0.290584726	0.297462341	0.261973242	0.308847132
P2_ZM87_V_D	0.302863013	0.278471636	0.262882557	0.296455583	0.213552744	0.255751076	0.250800174	0.285797984	0.292640023	0.232979882	0.294466188	0.394978137	0.220518879	0.303800612	0.302904876	0.277318042	0.300559116	0.261511063	0.308400357	0.148289163	0	0.172817008	0.288461059	0.293556325	0.341612837	0.303946413	0.309622364	0.265821088	0.273338988	0.265101061	0.294072371	0.284656627	0.237665684	0.234936366	0.23325666	0.276062695	0.242660573	0.309453277	0.297397413	0.37264142	0.34818028	0.346972454	0.309129401	0.32872596
P2_ZM87_VI_D	0.1833085	0.161358983	0.167550486	0.190962024	0.118151099	0.151777558	0.148476371	0.166417859	0.177047184	0.124823754	0.180770731	0.282982944	0.116779035	0.178202893	0.20002647	0.195861989	0.194411095	0.141746866	0.202888769	0.168818974	0.172817008	0	0.189279336	0.184097261	0.228076928	0.249627212	0.238459869	0.138649213	0.165848443	0.174374043	0.173977459	0.162056777	0.120624202	0.114683843	0.103850803	0.155519812	0.137831656	0.193786912	0.179240228	0.255920361	0.248150026	0.257439682	0.204369239	0.220478457
P30_KM73_I_D	0.292090353	0.2635488	0.076013219	0.193966678	0.184458661	0.178965542	0.176037044	0.198618497	0.156075549	0.182749643	0.074760172	0.29997436	0.126142794	0.188920659	0.169099969	0.254013296	0.327828441	0.27125209	0.34240084	0.243804708	0.288461059	0.189279336	0	0.054890017	0.223120111	0.309091701	0.294536391	0.174299809	0.12423304	0.261910367	0.290131057	0.275127231	0.142008946	0.239198781	0.218716809	0.17645445	0.190281261	0.242090162	0.170036724	0.245216263	0.111455797	0.16630322	0.065231995	0.228033111
P30_KM73_II_D	0.293856967	0.260948547	0.082035256	0.19597365	0.185268007	0.163237075	0.164074935	0.186668437	0.117893637	0.182719242	0.040929762	0.286627702	0.115517852	0.157806137	0.161268393	0.223696353	0.325326632	0.271896872	0.343533728	0.245133071	0.293556325	0.184097261	0.054890017	0	0.218283136	0.277759642	0.255788739	0.13103209	0.099153746	0.248528097	0.291771844	0.275083204	0.114323355	0.234742328	0.204839188	0.153214846	0.182899363	0.225657503	0.127857479	0.229574147	0.119624351	0.180903935	0.054891752	0.230417148
P30_KM73_III_D	0.313050991	0.271901561	0.233015989	0.184077233	0.218519949	0.231075079	0.230157115	0.113324403	0.206409702	0.145169084	0.204144911	0.334288665	0.218217487	0.229438989	0.188034906	0.280979185	0.345198587	0.293876906	0.363561444	0.324948338	0.341612837	0.228076928	0.223120111	0.218283136	0	0.329929869	0.322379251	0.213680966	0.241394278	0.264212005	0.312292831	0.296823306	0.215731839	0.216456417	0.237619728	0.199319919	0.22107074	0.228716719	0.215339268	0.201288477	0.226756241	0.214275706	0.229265347	0.128069755
P30_KM73_IV_D	0.297992911	0.283676023	0.345661637	0.34414418	0.305174614	0.323439533	0.321023138	0.307343065	0.259721536	0.288894661	0.288298262	0.395871779	0.305119392	0.270333334	0.327379052	0.208065538	0.298482936	0.279160242	0.314996379	0.326760495	0.303946413	0.249627212	0.309091701	0.277759642	0.329929869	0	0.134789726	0.190856274	0.261662626	0.225684399	0.291746771	0.285886906	0.199435145	0.260974472	0.274579928	0.243509788	0.309717918	0.299123507	0.264875496	0.325519407	0.373562808	0.386971824	0.318596717	0.344773328
P30_KM73_V_D	0.269886475	0.258122834	0.327849813	0.332635566	0.291221724	0.30114763	0.304633562	0.296840044	0.252212834	0.278317331	0.270571161	0.374711578	0.292057213	0.250559459	0.319367571	0.202731199	0.272540888	0.253151648	0.288407145	0.316381699	0.309622364	0.238459869	0.294536391	0.255788739	0.322379251	0.134789726	0	0.163456226	0.242330801	0.21959729	0.264256286	0.259344387	0.185560812	0.249743411	0.255047486	0.226030948	0.295136571	0.283623067	0.245782703	0.312546511	0.362364057	0.378062094	0.301760175	0.335503788
P30_KM73_VI_D	0.238964862	0.211571894	0.203851109	0.224656433	0.193493471	0.146844057	0.15074589	0.181330769	0.105266739	0.161450792	0.134921518	0.274263365	0.170291546	0.104713678	0.20210695	0.139721577	0.271586857	0.217893047	0.288695338	0.262495031	0.265821088	0.138649213	0.174299809	0.13103209	0.213680966	0.190856274	0.163456226	0	0.143368567	0.188095719	0.237059848	0.220241583	0.069885205	0.180737153	0.152455411	0.109243933	0.184106631	0.191330748	0.088825327	0.201232463	0.243399123	0.270178268	0.176638704	0.230240225
