	P11_GT85_I_D	P11_GT85_II_D	P11_GT85_III_D	P11_GT85_IV_D	P11_GT85_V_D	P17_BH58_I_D	P17_BH58_II_D	P17_BH58_III_D	P17_BH58_IV_D	P17_BH58_V_D	P17_BH58_VI_D	P18_SJ75_I_D	P18_SJ75_II_D	P18_SJ75_III_D	P18_SJ75_IV_D	P18_SJ75_V_D	P2_ZM87_I_D	P2_ZM87_II_D	P2_ZM87_III_D	P2_ZM87_IV_D	P2_ZM87_V_D	P2_ZM87_VI_D	P30_KM73_I_D	P30_KM73_II_D	P30_KM73_III_D	P30_KM73_IV_D	P30_KM73_V_D	P30_KM73_VI_D	P36_KJ78_I_D	P36_KJ78_III_D	P36_KJ78_IV_D	P36_KJ78_VI_D	P37_SJ55_I_D	P37_SJ55_II_D	P37_SJ55_III_D	P37_SJ55_IV_D	P37_SJ55_V_D	P37_SJ55_VI_D	P43_BR63_I_D	P43_BR63_III_D	P8_LV78_II_D	P8_LV78_III_D	P8_LV78_IV_D	P8_LV78_V_D
P17_BH58_VI_D	0.889897511	0.842166911	0.549048316	0.84568082	0.695754026	0.652415813	0.625475842	0.677306003	0.351098097	0.689897511	0	0.865885798	0.729136164	0.495168375	0.585651537	0.509809663	0.929721816	0.821669107	0.921522694	0.629868228	0.525915081	0.512152269	0.520351391	0.517130307	0.728257687	0.60204978	0.632210835	0.594729136	0.560175695	0.757247438	0.883455344	0.867057101	0.548169839	0.829282577	0.818740849	0.610541728	0.87818448	0.788286969	0.635724744	0.78682284	0.740263543	0.784187408	0.407027818	0.796778917
P18_SJ75_I_D	0.843045388	0.854172767	0.834553441	0.851537335	0.821669107	0.572767204	0.592972182	0.80761347	0.843923865	0.819033675	0.865885798	0	0.710102489	0.755783309	0.842166911	0.836603221	0.829575403	0.800585652	0.828696925	0.806734993	0.802635432	0.785358712	0.850658858	0.858272328	0.841581259	0.864128843	0.877891654	0.839238653	0.931771596	0.907174231	0.912445095	0.910395315	0.925036603	0.877891654	0.754026354	0.951390922	0.871156662	0.875549048	0.796193265	0.899267936	0.864714495	0.857686676	0.884040996	0.853001464
P18_SJ75_II_D	0.628696925	0.571888726	0.513030747	0.672035139	0.388579795	0.458272328	0.398828697	0.64011713	0.82489019	0.570424597	0.729136164	0.710102489	0	0.80966325	0.749633968	0.789458272	0.631625183	0.530600293	0.629282577	0.550805271	0.532650073	0.580087848	0.499560761	0.549048316	0.769838946	0.82284041	0.829575403	0.720644217	0.867935578	0.857101025	0.878770132	0.864128843	0.869106881	0.674963397	0.462664714	0.897510981	0.672913616	0.718008785	0.791508053	0.843045388	0.588579795	0.607320644	0.749341142	0.711566618
P18_SJ75_III_D	0.888726208	0.893997072	0.76398243	0.83601757	0.781259151	0.66852123	0.598243045	0.666178624	0.470863836	0.703367496	0.495168375	0.755783309	0.80966325	0	0.703660322	0.428696925	0.913616398	0.884919473	0.911566618	0.754612006	0.667642753	0.628111274	0.65124451	0.64568082	0.709809663	0.623718887	0.667349927	0.629282577	0.655929722	0.771010249	0.903367496	0.907174231	0.598243045	0.821376281	0.882869693	0.630161054	0.87057101	0.768081991	0.62489019	0.750512445	0.829868228	0.859443631	0.619619327	0.797364568
P18_SJ75_IV_D	0.817862372	0.823718887	0.526793558	0.734992679	0.718594436	0.691654466	0.667349927	0.618448023	0.557247438	0.682869693	0.585651537	0.842166911	0.749633968	0.703660322	0	0.659443631	0.835139092	0.814641288	0.824597365	0.581844802	0.574816984	0.544070278	0.724743777	0.812298682	0.715373353	0.768081991	0.80204978	0.802928258	0.671742313	0.786530015	0.925036603	0.920644217	0.674963397	0.766617862	0.817862372	0.736749634	0.793850659	0.785065886	0.766032211	0.79033675	0.81317716	0.801464129	0.562518302	0.693704246
P18_SJ75_V_D	0.868228404	0.871156662	0.732357247	0.807906296	0.773938507	0.699267936	0.674084919	0.641288433	0.531185944	0.713909224	0.509809663	0.836603221	0.789458272	0.428696925	0.659443631	0	0.876720351	0.846852123	0.881698389	0.701610542	0.607906296	0.570424597	0.57715959	0.637188873	0.72942899	0.6284041	0.652708638	0.654172767	0.632210835	0.751390922	0.909516837	0.905417277	0.607906296	0.779502196	0.85885798	0.611713031	0.828696925	0.747291362	0.702489019	0.803513909	0.816105417	0.838653001	0.603806735	0.760175695
P2_ZM87_I_D	0.287554905	0.351976574	0.679062958	0.730893119	0.604099561	0.721229868	0.677891654	0.743191801	0.93147877	0.698389458	0.929721816	0.829575403	0.631625183	0.913616398	0.835139092	0.876720351	0	0.224011713	0.140556369	0.537920937	0.553733529	0.577452416	0.855051245	0.927086384	0.880819912	0.923572474	0.925915081	0.932942899	0.92181552	0.923572474	0.949633968	0.943191801	0.910395315	0.600585652	0.48374817	0.9238653	0.551683748	0.744070278	0.930307467	0.917130307	0.879941435	0.851830161	0.899853587	0.78477306
P2_ZM87_II_D	0.304538799	0.301317716	0.591800878	0.727086384	0.504245974	0.62284041	0.589751098	0.710980966	0.902489019	0.642166911	0.821669107	0.800585652	0.530600293	0.884919473	0.814641288	0.846852123	0.224011713	0	0.23250366	0.453001464	0.483162518	0.54114202	0.754026354	0.821961933	0.846559297	0.900732064	0.889019034	0.865885798	0.915666179	0.902196193	0.896046852	0.887262079	0.911273792	0.600292826	0.396486091	0.93704246	0.561639824	0.746120059	0.864421669	0.892532943	0.775402635	0.743777452	0.821376281	0.768081991
P2_ZM87_III_D	0.270863836	0.346412884	0.672620791	0.730307467	0.59033675	0.720937042	0.661786237	0.754026354	0.920937042	0.692240117	0.921522694	0.828696925	0.629282577	0.911566618	0.824597365	0.881698389	0.140556369	0.23250366	0	0.568374817	0.570717423	0.565153734	0.86852123	0.920058565	0.874377745	0.913030747	0.915666179	0.928843338	0.934114202	0.910102489	0.952855051	0.948462665	0.918594436	0.608199122	0.478477306	0.935578331	0.577452416	0.766325037	0.938799414	0.918887262	0.884040996	0.857101025	0.912445095	0.793850659
P2_ZM87_IV_D	0.580966325	0.569253294	0.3522694	0.681991215	0.499560761	0.593850659	0.556661786	0.604099561	0.669692533	0.57510981	0.629868228	0.806734993	0.550805271	0.754612006	0.581844802	0.701610542	0.537920937	0.453001464	0.568374817	0	0.257979502	0.295754026	0.677598829	0.796778917	0.74465593	0.804099561	0.823426061	0.814641288	0.694289898	0.838945827	0.890483163	0.888726208	0.690775988	0.638653001	0.6	0.752562225	0.643923865	0.696339678	0.739677892	0.81727672	0.765153734	0.748169839	0.531771596	0.694582723
P2_ZM87_V_D	0.605270864	0.585065886	0.427232796	0.676427526	0.50863836	0.576281113	0.516544656	0.580380673	0.583308931	0.546412884	0.525915081	0.802635432	0.532650073	0.667642753	0.574816984	0.607906296	0.553733529	0.483162518	0.570717423	0.257979502	0	0.242459736	0.589165447	0.688433382	0.73704246	0.703074671	0.722108346	0.720644217	0.688140556	0.784187408	0.891654466	0.887847731	0.669985359	0.642166911	0.601756955	0.711566618	0.674963397	0.669106881	0.7238653	0.804392387	0.758125915	0.740556369	0.520644217	0.695754026
P2_ZM87_VI_D	0.606734993	0.62079063	0.433967789	0.680527086	0.535871157	0.596778917	0.543484627	0.600585652	0.515666179	0.569838946	0.512152269	0.785358712	0.580087848	0.628111274	0.544070278	0.570424597	0.577452416	0.54114202	0.565153734	0.295754026	0.242459736	0	0.603806735	0.679062958	0.731185944	0.651830161	0.677598829	0.71625183	0.643338214	0.762518302	0.917715959	0.912445095	0.618448023	0.649487555	0.634260615	0.646852123	0.68374817	0.660322108	0.7238653	0.808491947	0.79443631	0.78272328	0.538213763	0.696339678
P30_KM73_I_D	0.834846266	0.785651537	0.654172767	0.813469985	0.542313324	0.57510981	0.546120059	0.677891654	0.636310395	0.698682284	0.520351391	0.850658858	0.499560761	0.65124451	0.724743777	0.57715959	0.855051245	0.754026354	0.86852123	0.677598829	0.589165447	0.603806735	0	0.22489019	0.735285505	0.596193265	0.608199122	0.529721816	0.64363104	0.733821376	0.879355783	0.861493411	0.633089312	0.787115666	0.706881406	0.648609078	0.798535871	0.713030747	0.712737921	0.819326501	0.454172767	0.595900439	0.517715959	0.75636896
P30_KM73_II_D	0.881405564	0.831625183	0.739677892	0.88374817	0.599707174	0.648316252	0.609956076	0.783601757	0.627525622	0.771010249	0.517130307	0.858272328	0.549048316	0.64568082	0.812298682	0.637188873	0.927086384	0.821961933	0.920058565	0.796778917	0.688433382	0.679062958	0.22489019	0	0.802928258	0.573938507	0.56193265	0.488433382	0.69897511	0.776573939	0.885505124	0.869692533	0.680819912	0.870863836	0.760761347	0.708052709	0.884919473	0.813469985	0.714494876	0.857979502	0.516544656	0.659736457	0.593557833	0.85534407
P30_KM73_III_D	0.838653001	0.837481698	0.721229868	0.780087848	0.736163982	0.711566618	0.702489019	0.681698389	0.725915081	0.681991215	0.728257687	0.841581259	0.769838946	0.709809663	0.715373353	0.72942899	0.880819912	0.846559297	0.874377745	0.74465593	0.73704246	0.731185944	0.735285505	0.802928258	0	0.774524158	0.810248902	0.804978038	0.785944363	0.819326501	0.907174231	0.896632504	0.78682284	0.783308931	0.834553441	0.800878477	0.816398243	0.823133236	0.802635432	0.80556369	0.799707174	0.806734993	0.739970717	0.724743777
P30_KM73_IV_D	0.889311859	0.902489019	0.816691069	0.85329429	0.82079063	0.783601757	0.742313324	0.735871157	0.575695461	0.75988287	0.60204978	0.864128843	0.82284041	0.623718887	0.768081991	0.6284041	0.923572474	0.900732064	0.913030747	0.804099561	0.703074671	0.651830161	0.596193265	0.573938507	0.774524158	0	0.20556369	0.429868228	0.598828697	0.760175695	0.916544656	0.912737921	0.51420205	0.848901903	0.892532943	0.568667643	0.884919473	0.805270864	0.774231332	0.826354319	0.858565154	0.867935578	0.665007321	0.804099561
P30_KM73_V_D	0.884626647	0.894582723	0.839531479	0.877013177	0.824011713	0.809077599	0.755197657	0.785944363	0.625768668	0.795021962	0.632210835	0.877891654	0.829575403	0.667349927	0.80204978	0.652708638	0.925915081	0.889019034	0.915666179	0.823426061	0.722108346	0.677598829	0.608199122	0.56193265	0.810248902	0.20556369	0	0.375695461	0.634553441	0.780966325	0.911859444	0.910102489	0.53909224	0.861786237	0.892532943	0.587115666	0.882869693	0.816691069	0.797071742	0.861786237	0.857393851	0.864714495	0.684626647	0.845095168
P30_KM73_VI_D	0.897218155	0.846852123	0.798828697	0.88374817	0.736163982	0.72181552	0.653587116	0.779502196	0.63806735	0.765446559	0.594729136	0.839238653	0.720644217	0.629282577	0.802928258	0.654172767	0.932942899	0.865885798	0.928843338	0.814641288	0.720644217	0.71625183	0.529721816	0.488433382	0.804978038	0.429868228	0.375695461	0	0.629868228	0.781844802	0.889604685	0.874377745	0.528550512	0.867057101	0.804099561	0.558418741	0.889604685	0.811127379	0.668228404	0.826354319	0.765739385	0.795314788	0.653879941	0.85885798
