#																																																																																				
#OTU ID	K11_JV87_I_D	K11_JV87_IV_D	K12_KJ78_I_D	K12_KJ78_IV_D	K16_PP75_I_D	K16_PP75_IV_D	K17_SS75_I_D	K17_SS75_IV_D	K2_NL71_I_D	K2_NL71_IV_D	K20_HO76_I_D	K20_HO76_IV_D	K21_KT86_I_D	K23_JM85_I_D	K27_BA81_II_D	K28_KZ83_I_D	K3_KM78_I_D	K3_KM78_IV_D	K30_SF95_I_D	K31_MM80_I_D	K31_MM80_IV_D	K32_KS89_I_D	K34_BI96_I_D	K34_BI96_IV_D	K39_DS96_I_D	K4_RR79_I_D	K40_WV86_I_D	K40_WV86_IV_D	K41_NE90_I_D	K41_NE90_IV_D	K43_KZ94_I_D	K5_JZ92_I_D	K5_JZ92_IV_D	K8_KP79_I_D	K9_KM80_I_D	K9_KM80_IV_D	P11_GT85_I_D	P11_GT85_II_D	P11_GT85_III_D	P11_GT85_IV_D	P11_GT85_V_D	P11_GT85_VI_D	P17_BH58_I_D	P17_BH58_II_D	P17_BH58_III_D	P17_BH58_IV_D	P17_BH58_V_D	P17_BH58_VI_D	P18_SJ75_I_D	P18_SJ75_II_D	P18_SJ75_III_D	P18_SJ75_IV_D	P18_SJ75_V_D	P2_ZM87_I_D	P2_ZM87_II_D	P2_ZM87_III_D	P2_ZM87_IV_D	P2_ZM87_V_D	P2_ZM87_VI_D	P30_KM73_I_D	P30_KM73_II_D	P30_KM73_III_D	P30_KM73_IV_D	P30_KM73_V_D	P30_KM73_VI_D	P36_KJ78_I_D	P36_KJ78_III_D	P36_KJ78_IV_D	P36_KJ78_V_D	P36_KJ78_VI_D	P37_SJ55_I_D	P37_SJ55_II_D	P37_SJ55_III_D	P37_SJ55_IV_D	P37_SJ55_V_D	P37_SJ55_VI_D	P43_BR63_I_D	P43_BR63_II_D	P43_BR63_III_D	P8_LV78_I_D	P8_LV78_II_D	P8_LV78_III_D	P8_LV78_IV_D	P8_LV78_V_D
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__uncultured_bacterium	0.003249458	0.015146374	0.007744434	0.026123806	0.020244632	0.008442867	0.001138547	0.014911677	0.014427269	0.015739442	0.001530076	0.002751116	0.102633651	0.336656578	0.009379431	0.010311404	0.008268156	0.017785016	0.015832179	0.001544231	0.00037292	0.014899273	0.005715045	0.004236368	0.001198518	0.023393233	0.0117724	0.007228605	0.057707721	0.106635683	0.024245423	0.00849835	0.022263279	0.001691638	0.002417544	0.005225605	0.012220206	0.00945495	0.027831094	0.021935484	0.050547897	0.036194416	0.061573546	0.094875739	0.095939933	0.339535814	0.116383841	0.26951565	0.005413888	0.038632574	0.361400412	0.124427212	0.363391846	0.009917798	0.009262436	0.031900349	0.048996458	0.145278834	0.224480038	0.257209779	0.316562986	0.09309888	0.684069372	0.732802601	0.590781945	0.358241758	0.301894796	0.004574881	0.046722689	0.007937743	0.530487478	0.105263158	0.002517042	0.467805632	0.059683888	0.1785541	0.391086426	0.033229491	0.062998405	0.071742313	0.029101996	0.020564323	0.227144866	0.064242756
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Lawsonella;s__uncultured_bacterium	0.010664889	0.01147546	0.035152469	0.029825126	0.012454801	0.007387508	0.00170782	0.009252887	0.015537059	0.006856787	0.002295113	0	0.000612477	0.005483354	0	0.003505878	0.019068901	0.006254072	0.005442311	0.000294139	0.002438325	0.012800783	0.01010101	0.017705844	0.001416431	0.002023636	0	0.001419904	0.004541811	0.002065582	0.012122712	0.007425743	0.000831409	0.007088771	0.001381454	0.001105417	0	0.003893215	0	0.003056027	0	0	0.008694413	0.00647616	0.007647386	0	0.002552936	0	0	0.002223457	0	0	0	0.038464975	0.00102916	0.01678566	0.004230618	0.021546261	0	0	0	0.001565699	0.000625782	0.000840949	0	0	0.001838235	0.000776867	0.002352941	0	0	0.002197144	0.000524384	0	0.002909491	0.008895358	0	0	0	0	0	0	0	0.00123018
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Turicella;s__uncultured_bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000689417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023269749	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Geodermatophilaceae;g__Blastococcus;s__Candidatus_Blastococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010959894	0	0	0	0	0	0	0	0	0	0	0	0.000257555	0.000550444	0.000970403	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Brevibacteriaceae;g__Brevibacterium;s__uncultured_bacterium	0	0	0	0.000268212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00130052	0	0.000273066	0	0	0	0.0023499	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001923077	0	0	0	0	0.000697163	0.001897533	0	0.011761676	0	0.002426007	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Dermabacteraceae;g__Dermabacter;__	0	0	0	0	0	0	0	0	0	0	0	0	0.002318663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001549187	0	0	0	0	0	0	0.000725953	0	0	0	0	0	0	0	0	0	0	0.006894904	0.002903099	0.000972763	0.011709326	0	0.008635334	0	0	0	0	0	0.001195314	0	0.003265941	0	0.001877347	0	0	0.006913919	0.034502262	0.000258956	0.001680672	0	0.004236606	0	0	0.004035027	0	0.003072942	0.001354646	0	0	0	0	0	0	0.001776927
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Dermacoccaceae;g__Dermacoccus;__	0	0.001326465	0	0	0	0	0	0	0.00110979	0	0.000765038	0	0	0	0	0.003196535	0	0.006970684	0.000247378	0.001470696	0	0	0	0	0	0.000323782	0	0	0.008816457	0.017299251	0	0	0	0	0	0.000301477	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005419678	0	0.00869463	0	0	0	0	0	0.00396071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae;g__Janibacter;__	0	0	0	0	0.000111602	0	0	0	0	0.001090852	0	0	0	0	0	0	0	0	0	0.004044415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002529206	0	0	0	0	0	0	0	0	0	0	0	0	0.003302666	0	0	0.002076843	0.035087719	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium_sp.	0	0.00030848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000742207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015897868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006560962
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Kocuria;__	0.000583236	0.001017984	0	0.000643708	0	0	0	0	0.001743956	0.006077606	0	0	0.001356199	0	0	0.001649825	0.002458101	0	0	0.006471064	0	0	0	0	0	0	0	0	0	0	0	0	0.000461894	0	0	0	0	0	0	0	0.003534818	0.001723544	0	0	0.015294772	0	0.040096111	0.006178107	0	0.001806559	0.001471021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001286914	0	0.01307815	0	0	0.003825921	0	0
