#																																																
#OTU ID	P11_GT85_I_D	P11_GT85_II_D	P11_GT85_III_D	P11_GT85_IV_D	P11_GT85_V_D	P11_GT85_VI_D	P17_BH58_I_D	P17_BH58_II_D	P17_BH58_III_D	P17_BH58_IV_D	P17_BH58_V_D	P17_BH58_VI_D	P18_SJ75_I_D	P18_SJ75_II_D	P18_SJ75_III_D	P18_SJ75_IV_D	P18_SJ75_V_D	P2_ZM87_I_D	P2_ZM87_II_D	P2_ZM87_III_D	P2_ZM87_IV_D	P2_ZM87_V_D	P2_ZM87_VI_D	P30_KM73_I_D	P30_KM73_II_D	P30_KM73_III_D	P30_KM73_IV_D	P30_KM73_V_D	P30_KM73_VI_D	P36_KJ78_I_D	P36_KJ78_III_D	P36_KJ78_IV_D	P36_KJ78_V_D	P36_KJ78_VI_D	P37_SJ55_I_D	P37_SJ55_II_D	P37_SJ55_III_D	P37_SJ55_IV_D	P37_SJ55_V_D	P37_SJ55_VI_D	P43_BR63_I_D	P43_BR63_II_D	P43_BR63_III_D	P8_LV78_I_D	P8_LV78_II_D	P8_LV78_III_D	P8_LV78_IV_D	P8_LV78_V_D
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Geodermatophilaceae;g__Blastococcus;s__Candidatus_Blastococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010959894	0	0	0	0	0	0	0	0	0	0	0	0.000257555	0.000550444	0.000970403	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Brevibacteriaceae;g__Brevibacterium;s__uncultured_bacterium	0	0	0	0	0	0	0	0	0	0.00130052	0	0.000273066	0	0	0	0.0023499	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001923077	0	0	0	0	0.000697163	0.001897533	0	0.011761676	0	0.002426007	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Dermabacteraceae;g__Dermabacter;__	0.000725953	0	0	0	0	0	0	0	0	0	0	0.006894904	0.002903099	0.000972763	0.011709326	0	0.008635334	0	0	0	0	0	0.001195314	0	0.003265941	0	0.001877347	0	0	0.006913919	0.034502262	0.000258956	0.001680672	0	0.004236606	0	0	0.004035027	0	0.003072942	0.001354646	0	0	0	0	0	0	0.001776927
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae;g__Janibacter;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002529206	0	0	0	0	0	0	0	0	0	0	0	0	0.003302666	0	0	0.002076843	0.035087719	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015897868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006560962
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Kocuria;__	0	0	0	0	0.003534818	0.001723544	0	0	0.015294772	0	0.040096111	0.006178107	0	0.001806559	0.001471021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001286914	0	0.01307815	0	0	0.003825921	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Kocuria;s__Kocuria_palustris	0	0	0	0.003123939	0	0	0	0	0.003476085	0	0	0	0	0	0	0.014451886	0	0	0	0	0	0	0	0	0	0.005540166	0	0	0	0	0	0	0	0	0	0.004094677	0	0.00206044	0.002359047	0.007116287	0.002980222	0	0.03923445	0	0	0	0	0.007244396
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Micrococcus;__	0.001330913	0	0	0.003599321	0.004418522	0.005860048	0	0	0.031840934	0.00190076	0.042048356	0.006075707	0	0	0	0	0	0.001429593	0	0	0	0.001108999	0.00135469	0.000292783	0	0.033240997	0.000804577	0.001009138	0	0.000320513	0.027714932	0	0.006722689	0	0.000858047	0.024468191	0	0.002747253	0.010694346	0.044153324	0.018287727	0.008307373	0.137958533	0.068814056	0.010809313	0.010999522	0.003750586	0.004647348
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia;__	0	0	0	0	0	0	0.003990878	0.003157128	0.002641824	0.00230092	0.012614507	0.000614397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004920722
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia;s__uncultured_bacterium	0	0	0	0.000882852	0.002474373	0	0	0	0.010011123	0	0	0	0	0.000833797	0	0	0	0	0	0	0	0	0	0.002342263	0.000544323	0	0	0.000392443	0	0	0	0	0.001680672	0.000311284	0	0	0	0	0.00353857	0	0.000677323	0	0.000956938	0	0.004988914	0.009724215	0	0.01831602
